="Linear regression: Dependent variable ln_welfare_perc"
="",="2007",="2011"
="Female",="0",="0"
="",="(.)",="(.)"
="Male",="0.142***",="0.216***"
="",="(0.0278)",="(0.0553)"
="Age of individual",="-0.00511***",="-0.00466"
="",="(0.00149)",="(0.00238)"
="Age squared",="0.0000547***",="0.0000543*"
="",="(0.0000153)",="(0.0000243)"
="Household size",="-0.0164***",="-0.0202***"
="",="(0.00187)",="(0.00355)"
="Rural",="0",="0"
="",="(.)",="(.)"
="Urban",="-0.00177",="0.0421"
="",="(0.0213)",="(0.0349)"
="No Electricity",="0",="0"
="",="(.)",="(.)"
="Electricity",="0.130***",="0.102**"
="",="(0.0191)",="(0.0325)"
="Not own house",="0",="0"
="",="(.)",="(.)"
="Own house",="0.123***",="0.149***"
="",="(0.0143)",="(0.0218)"
="Kabul",="0",="0"
="",="(.)",="(.)"
="Kapisa",="0.0110",="-0.0651"
="",="(0.0344)",="(0.0612)"
="Parwan",="0.0339",="-0.231***"
="",="(0.0350)",="(0.0554)"
="Wardak",="-0.302***",="-0.246***"
="",="(0.0269)",="(0.0651)"
="Logar",="-0.364***",="-0.0567"
="",="(0.0287)",="(0.0733)"
="Ghazni",="0.0551",="-0.194**"
="",="(0.0339)",="(0.0696)"
="Paktika",="-0.417***",="-0.0975"
="",="(0.0417)",="(0.0651)"
="Paktya",="-0.314***",="-0.0393"
="",="(0.0368)",="(0.0629)"
="Nangarhar",="-0.0207",="-0.119"
="",="(0.0375)",="(0.0656)"
="Kunarha",="-0.297***",="-0.179**"
="",="(0.0644)",="(0.0631)"
="Laghman",="-0.337***",="-0.379***"
="",="(0.0595)",="(0.0788)"
="Nuristan",="-0.171*",="0.0739"
="",="(0.0698)",="(0.0808)"
="Badakhshan",="-0.380***",="-0.387***"
="",="(0.0610)",="(0.0593)"
="Takhar",="-0.0456",="-0.508***"
="",="(0.0442)",="(0.0656)"
="Baghlan",="0.151***",="-0.145*"
="",="(0.0351)",="(0.0579)"
="Kunduz",="-0.0520",="-0.230***"
="",="(0.0324)",="(0.0570)"
="Samangan",="-0.278***",="-0.294***"
="",="(0.0559)",="(0.0600)"
="Balkh",="-0.374***",="0.0167"
="",="(0.0344)",="(0.0583)"
="Jawzjan",="-0.00152",="-0.300***"
="",="(0.0378)",="(0.0658)"
="Sar-I-Poul",="-0.00771",="-0.387***"
="",="(0.0439)",="(0.0615)"
="Faryab",="-0.0210",="-0.0266"
="",="(0.0416)",="(0.0542)"
="Badghis",="-0.232***",="-0.234***"
="",="(0.0405)",="(0.0599)"
="Hirat",="-0.149***",="-0.139*"
="",="(0.0296)",="(0.0634)"
="Farah",="0.238***",="0.207***"
="",="(0.0536)",="(0.0597)"
="Nimroz",="-0.0144",="0.0252"
="",="(0.0444)",="(0.0607)"
="Kandahar",="-0.0141",="-0.00405"
="",="(0.0314)",="(0.0562)"
="Zabul",="-0.102*",="-0.391***"
="",="(0.0516)",="(0.0605)"
="Uruzgan",="-0.264***",="-0.226*"
="",="(0.0394)",="(0.0890)"
="Ghor",="-0.159***",="-0.310***"
="",="(0.0480)",="(0.0835)"
="Bamyan",="-0.218**",="-0.203**"
="",="(0.0684)",="(0.0617)"
="Panjsher",="0.0514",="-0.177**"
="",="(0.0588)",="(0.0568)"
="Daikindi",="-0.169***",="-0.117"
="",="(0.0496)",="(0.0745)"
="Constant",="0.500***",="0.685***"
="",="(0.0493)",="(0.0926)"
="Observations",="19221",="19591"
="R-squared",="0.169",="0.156"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
