="Linear regression: Dependent variable ln_welfare_perc"
="",="2001",="2004",="2005",="2007",="2010",="2011",="2013",="2015"
="Female",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Male",="-0.0903***",="-0.0334*",="-0.0474**",="-0.0357*",="-0.0227",="-0.0666***",="-0.0531***",="-0.0508***"
="",="(0.0152)",="(0.0167)",="(0.0159)",="(0.0145)",="(0.0133)",="(0.0133)",="(0.0115)",="(0.0112)"
="Age of individual",="0.00804***",="0.00713***",="0.00570***",="0.00759***",="0.0128***",="0.0129***",="0.00906***",="0.0114***"
="",="(0.00154)",="(0.00174)",="(0.00165)",="(0.00167)",="(0.00158)",="(0.00161)",="(0.00139)",="(0.00143)"
="Age squared",="-0.0000267",="-0.0000209",="-0.00000347",="-0.0000174",="-0.0000642***",="-0.0000595***",="-0.0000269",="-0.0000274"
="",="(0.0000155)",="(0.0000173)",="(0.0000166)",="(0.0000168)",="(0.0000157)",="(0.0000161)",="(0.0000140)",="(0.0000144)"
="Household size",="-0.0648***",="-0.0750***",="-0.0620***",="-0.0684***",="-0.0692***",="-0.0695***",="-0.0667***",="-0.0779***"
="",="(0.00113)",="(0.00133)",="(0.00116)",="(0.00121)",="(0.00123)",="(0.00123)",="(0.00108)",="(0.00106)"
="Rural",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Urban",="0.322***",="0.340***",="0.360***",="0.347***",="0.286***",="0.350***",="0.347***",="0.361***"
="",="(0.00892)",="(0.00921)",="(0.00881)",="(0.00850)",="(0.00763)",="(0.00804)",="(0.00734)",="(0.00723)"
="No Electricity",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Electricity",="0.228***",="0.199***",="0.277***",="0.244***",="0.137***",="0.202***",="0.193***",="0.211***"
="",="(0.0103)",="(0.0121)",="(0.0125)",="(0.0132)",="(0.0127)",="(0.0140)",="(0.0110)",="(0.0134)"
="Not own house",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Own house",="0.0604***",="0.0651***",="0.0796***",="0.0573***",="0.0699***",="0.0739***",="0.0333***",="0.0673***"
="",="(0.0120)",="(0.0126)",="(0.0123)",="(0.0119)",="(0.0101)",="(0.0110)",="(0.00957)",="(0.00798)"
="Punjab",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Sindh",="0.119***",="0.0772***",="-0.0216*",="-0.0103",="-0.0329***",="-0.0358***",="-0.0952***",="0.00116"
="",="(0.00996)",="(0.0109)",="(0.0104)",="(0.0100)",="(0.00908)",="(0.00947)",="(0.00815)",="(0.00803)"
="Khyber Pakhtunkhwa",="0.0127",="-0.0224",="-0.0480***",="0.0151",="-0.0189",="-0.0516***",="0.0935***",="0.0816***"
="",="(0.0111)",="(0.0114)",="(0.0113)",="(0.0108)",="(0.0101)",="(0.0102)",="(0.00905)",="(0.00852)"
="Balochistan",="0.146***",="0.0786***",="-0.131***",="-0.136***",="-0.0195",="-0.0189",="-0.0323**",="-0.0710***"
="",="(0.0124)",="(0.0130)",="(0.0132)",="(0.0125)",="(0.0113)",="(0.0142)",="(0.0123)",="(0.0116)"
="Constant",="0.272***",="0.466***",="0.391***",="0.427***",="0.441***",="0.427***",="0.586***",="0.555***"
="",="(0.0408)",="(0.0457)",="(0.0435)",="(0.0442)",="(0.0415)",="(0.0427)",="(0.0358)",="(0.0373)"
="Observations",="14654",="14704",="15438",="15506",="16339",="15806",="17988",="24238"
="R-squared",="0.302",="0.278",="0.304",="0.308",="0.257",="0.298",="0.325",="0.306"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
