="Linear regression: Dependent variable ln_welfare_perc"
="",="2003",="2010"
="Female",="0",="0"
="",="(.)",="(.)"
="Male",="-0.0289",="0.0316"
="",="(0.0261)",="(0.0182)"
="Age of individual",="0.0103*",="0.0126***"
="",="(0.00414)",="(0.00307)"
="Age squared",="-0.0000614",="-0.000111***"
="",="(0.0000421)",="(0.0000301)"
="Household size",="-0.0365***",="-0.0575***"
="",="(0.00622)",="(0.00438)"
="Rural",="0",="0"
="",="(.)",="(.)"
="Urban",="0.304***",="0.0524"
="",="(0.0589)",="(0.0397)"
="No Electricity",="0",="0"
="",="(.)",="(.)"
="Electricity",="0.483***",="0.392***"
="",="(0.0371)",="(0.0246)"
="Not own house",="0",="0"
="",="(.)",="(.)"
="Own house",="0.218***",="0.0463"
="",="(0.0474)",="(0.0328)"
="Taplejung",="0",="0"
="",="(.)",="(.)"
="Panchthar",="-0.498***",="0.00579"
="",="(0.144)",="(0.0511)"
="Ilam",="-0.0149",="-0.0396"
="",="(0.155)",="(0.0545)"
="Jhapa",="-0.0000791",="-0.118"
="",="(0.150)",="(0.0668)"
="Morang",="-0.132",="-0.250***"
="",="(0.125)",="(0.0595)"
="Sunsari",="-0.0449",="-0.0174"
="",="(0.154)",="(0.0363)"
="Dhankuta",="-0.491**",="-0.109*"
="",="(0.170)",="(0.0494)"
="Tehrathum",="0.215*",="0.0423"
="",="(0.107)",="(0.134)"
="Sankhuwasabha",="-0.301*",="-0.269***"
="",="(0.135)",="(0.0648)"
="Bhojpur",="-0.414",="-0.127"
="",="(0.327)",="(0.0732)"
="Solukhumbu",="-0.0499",="-0.252***"
="",="(0.120)",="(0.0439)"
="Okhaldhunga",="-0.441**",="0.160"
="",="(0.152)",="(0.144)"
="Khotang",="-0.296",="-0.0898"
="",="(0.190)",="(0.0577)"
="Udayapur",="-0.630***",="-0.142"
="",="(0.155)",="(0.105)"
="Saptari",="-0.208",="-0.319***"
="",="(0.147)",="(0.0728)"
="Siraha",="-0.109",="-0.324***"
="",="(0.155)",="(0.0723)"
="Dhanusha",="-0.0506",="-0.298***"
="",="(0.121)",="(0.0685)"
="Mahottari",="-0.121",="-0.0545"
="",="(0.129)",="(0.0529)"
="Sarlahi",="-0.0892",="0.0282"
="",="(0.125)",="(0.0606)"
="Sindhuli",="-0.598***",="-0.323***"
="",="(0.151)",="(0.0776)"
="Ramechhap",="-0.473***",="-0.0940"
="",="(0.138)",="(0.0695)"
="Dolakha",="-0.227",="-0.330**"
="",="(0.168)",="(0.104)"
="Sindhupalchok",="-0.432***",="-0.419***"
="",="(0.127)",="(0.117)"
="Kabhrepalanchok",="-0.291",="-0.0196"
="",="(0.168)",="(0.107)"
="Lalitpur",="0.231",="-0.211"
="",="(0.175)",="(0.113)"
="Bhaktapur",="-0.344*",="0.0563"
="",="(0.141)",="(0.219)"
="Kathmandu",="0.334*",="-0.0328"
="",="(0.143)",="(0.0700)"
="Nuwakot",="-0.363**",="-0.148"
="",="(0.124)",="(0.117)"
="Dhading",="-0.201",="-0.296**"
="",="(0.113)",="(0.110)"
="Makwanpur",="-0.652***",="-0.349*"
="",="(0.160)",="(0.154)"
="Rautahat",="-0.209",="-0.0285"
="",="(0.164)",="(0.0728)"
="Bara",="-0.166",="-0.230*"
="",="(0.151)",="(0.101)"
="Parsa",="-0.0837",="-0.344***"
="",="(0.130)",="(0.0544)"
="Chitwan",="0.0690",="0.0835"
="",="(0.221)",="(0.0967)"
="Gorkha",="-0.362*",="-0.266"
="",="(0.169)",="(0.137)"
="Lamjung",="-0.174",="-0.261***"
="",="(0.110)",="(0.0619)"
="Tanahun",="0.0524",="-0.125"
="",="(0.121)",="(0.0701)"
="Syangja",="-0.478**",="-0.218***"
="",="(0.144)",="(0.0641)"
="Kaski",="0.454*",="0.264*"
="",="(0.176)",="(0.129)"
="Manang",="0.324**",=""
="",="(0.116)",=""
="Myagdi",="-0.309",="-0.570***"
="",="(0.207)",="(0.119)"
="Parbat",="-0.0365",="0.0466"
="",="(0.235)",="(0.152)"
="Baglung",="-0.0264",="-0.355***"
="",="(0.143)",="(0.0733)"
="Gulmi",="-0.457***",="-0.347**"
="",="(0.134)",="(0.132)"
="Palpa",="-0.309",="-0.194"
="",="(0.161)",="(0.121)"
="Nawalparasi",="-0.00332",="-0.108"
="",="(0.135)",="(0.108)"
="Rupandehi",="-0.0826",="0.0589"
="",="(0.160)",="(0.0593)"
="Kapilbastu",="-0.429",="-0.259***"
="",="(0.223)",="(0.0606)"
="Arghakhanchi",="-0.317*",="-0.233**"
="",="(0.129)",="(0.0712)"
="Pyuthan",="0.0790",="-0.476***"
="",="(0.148)",="(0.0535)"
="Rolpa",="-0.498***",="-0.0158"
="",="(0.110)",="(0.0915)"
="Rukum",="-0.369**",="-0.0349"
="",="(0.139)",="(0.107)"
="Salyan",="-0.459***",="-0.0816"
="",="(0.128)",="(0.0659)"
="Dang",="-0.164",="-0.261***"
="",="(0.145)",="(0.0598)"
="Banke",="-0.207",="-0.180"
="",="(0.174)",="(0.104)"
="Bardiya",="-0.141",="-0.207*"
="",="(0.125)",="(0.0832)"
="Surkhet",="-0.443***",="-0.155"
="",="(0.125)",="(0.0831)"
="Dailekh",="-0.432**",="-0.249**"
="",="(0.131)",="(0.0875)"
="Jajarkot",="-0.121",="-0.379***"
="",="(0.107)",="(0.0771)"
="Dolpa",="0.220*",=""
