="Logit regression: Dependent variable poor_int"
="",="2016",="model2_logit_MDV_2009"
="People below poverty line (Povcalnet)",="",=""
="Female",="0",="0"
="",="(.)",="(.)"
="Male",="-0.0771",="-0.453*"
="",="(0.246)",="(0.190)"
="Age of individual",="0.0737",="0.0446"
="",="(0.0556)",="(0.0429)"
="Age squared",="-0.000569",="-0.000328"
="",="(0.000541)",="(0.000423)"
="Household size",="0.0216",="0.0382"
="",="(0.0328)",="(0.0253)"
="Rural",="0",="0"
="",="(.)",="(.)"
="Urban",="-1.974***",="-0.627*"
="",="(0.468)",="(0.276)"
="Not own house",="0",="0"
="",="(.)",="(.)"
="Own house",="-0.603",="0.0257"
="",="(0.404)",="(0.311)"
="AA",="0",="0"
="",="(.)",="(.)"
="Adh",="0",="0"
="",="(.)",="(.)"
="Constant",="-3.551**",="-3.767***"
="",="(1.318)",="(1.022)"
="Observations",="834",="1917"
="Pseudo R-squared",="0.062",="0.020"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
