="Linear regression: Dependent variable ln_welfare_perc"
="",="2003",="2007",="2012",="2017"
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="0.0177",="-0.0356**",="0.00296",="-0.0211"
="",="(0.0264)",="(0.0134)",="(0.0160)",="(0.0142)"
="Age of individual",="0.0162**",="0.0187***",="-0.0000320",="0.00199"
="",="(0.00541)",="(0.00220)",="(0.00249)",="(0.00263)"
="Age squared",="-0.000162**",="-0.000189***",="-0.0000143",="-0.0000461"
="",="(0.0000536)",="(0.0000214)",="(0.0000240)",="(0.0000262)"
="Household size",="-0.0742***",="-0.0966***",="-0.0996***",="-0.103***"
="",="(0.00494)",="(0.00280)",="(0.00380)",="(0.00429)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="0.281***",="0.423***",="0.234***",="0.349***"
="",="(0.0561)",="(0.0304)",="(0.0321)",="(0.0275)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="0.314***",="0.185***",="0.203***",="0.119"
="",="(0.0474)",="(0.0187)",="(0.0269)",="(0.0882)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="-0.0407",="-0.140***",="-0.0842***",="-0.0830***"
="",="(0.0452)",="(0.0239)",="(0.0230)",="(0.0216)"
="Chukha",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Ha",="0.167",="0.0301",="0.252***",="0.333***"
="",="(0.192)",="(0.0602)",="(0.0695)",="(0.0624)"
="Paro",="0.403***",="0.362***",="0.638***",="0.305***"
="",="(0.0989)",="(0.0524)",="(0.0485)",="(0.0457)"
="Thimphu",="0.0205",="0.284***",="0.452***",="0.239***"
="",="(0.0823)",="(0.0449)",="(0.0517)",="(0.0355)"
="Punakha",="-0.105",="0.190***",="0.163**",="0.126**"
="",="(0.110)",="(0.0523)",="(0.0576)",="(0.0434)"
="Gasa",="0.0983",="0.408***",="1.004***",="0.0826"
="",="(0.101)",="(0.0756)",="(0.135)",="(0.131)"
="Wangdi Phodrang",="0.170",="0.195***",="0.0929",="0.199***"
="",="(0.102)",="(0.0451)",="(0.0545)",="(0.0554)"
="Bumthang",="-0.0328",="0.202***",="0.259***",="0.164**"
="",="(0.0979)",="(0.0585)",="(0.0664)",="(0.0499)"
="Trongsa",="-0.0953",="0.137*",="0.0855",="-0.141**"
="",="(0.109)",="(0.0585)",="(0.0749)",="(0.0494)"
="Zhemgang",="-0.160",="-0.195***",="-0.0365",="-0.340***"
="",="(0.101)",="(0.0575)",="(0.0586)",="(0.0552)"
="Lhuntshi",="-0.248*",="-0.211***",="-0.223**",="0.0507"
="",="(0.105)",="(0.0539)",="(0.0831)",="(0.0769)"
="Mongar",="-0.681***",="-0.240***",="0.132**",="-0.166*"
="",="(0.107)",="(0.0449)",="(0.0488)",="(0.0650)"
="Trashigang",="-0.287*",="-0.161***",="-0.00954",="-0.143**"
="",="(0.119)",="(0.0428)",="(0.0473)",="(0.0541)"
="Tashi Yangtse",="-0.459***",="0.103*",="-0.0616",="-0.151**"
="",="(0.133)",="(0.0499)",="(0.0622)",="(0.0463)"
="Pemagatshel",="-0.448***",="-0.0677",="-0.318***",="-0.160*"
="",="(0.111)",="(0.0424)",="(0.0490)",="(0.0703)"
="Samdrup Jongkhar",="-0.342***",="-0.181***",="-0.0104",="-0.187***"
="",="(0.0872)",="(0.0526)",="(0.0690)",="(0.0505)"
="Samtse",="-0.523***",="-0.288***",="-0.132**",="-0.162***"
="",="(0.108)",="(0.0408)",="(0.0466)",="(0.0473)"
="Sarpang",="-0.302***",="-0.0208",="0.0381",="-0.215***"
="",="(0.0789)",="(0.0393)",="(0.0440)",="(0.0401)"
="Tsirang",="-0.249*",="0.252***",="0.00960",="0.0190"
="",="(0.124)",="(0.0488)",="(0.0748)",="(0.0619)"
="Dagana",="-0.136",="-0.0140",="-0.231***",="-0.617***"
="",="(0.108)",="(0.0621)",="(0.0547)",="(0.0643)"
="Constant",="0.732***",="0.841***",="1.402***",="1.694***"
="",="(0.176)",="(0.0677)",="(0.0754)",="(0.113)"
="Observations",="4007",="9798",="8968",="11394"
="R-squared",="0.494",="0.540",="0.440",="0.411"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
