="Logit regression: Dependent variable poor_int"
="",="2001",="2004",="2005",="2007",="2010",="2011",="2013",="2015"
="People below Poverty Line (Povcalnet)",="",="",="",="",="",="",="",=""
="Female",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Male",="0.340***",="0.0134",="0.387**",="0.181",="0.0954",="0.317*",="0.131",="0.0315"
="",="(0.101)",="(0.111)",="(0.135)",="(0.135)",="(0.148)",="(0.162)",="(0.174)",="(0.215)"
="Age of individual",="-0.00693",="-0.0152",="0.0412***",="0.00828",="0.00624",="-0.0367*",="-0.00302",="0.0173"
="",="(0.00899)",="(0.0111)",="(0.0111)",="(0.0130)",="(0.0175)",="(0.0151)",="(0.0168)",="(0.0234)"
="Age squared",="-0.000105",="0.0000323",="-0.000531***",="-0.000275*",="-0.000447*",="0.000168",="-0.000253",="-0.000440"
="",="(0.0000923)",="(0.000111)",="(0.000114)",="(0.000134)",="(0.000188)",="(0.000155)",="(0.000179)",="(0.000250)"
="Household size",="0.209***",="0.225***",="0.180***",="0.216***",="0.228***",="0.203***",="0.219***",="0.195***"
="",="(0.00667)",="(0.00803)",="(0.00686)",="(0.00808)",="(0.0101)",="(0.00952)",="(0.0100)",="(0.0114)"
="Rural",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Urban",="-0.888***",="-0.826***",="-0.926***",="-1.093***",="-0.879***",="-1.278***",="-1.607***",="-1.423***"
="",="(0.0555)",="(0.0638)",="(0.0637)",="(0.0749)",="(0.0849)",="(0.0976)",="(0.129)",="(0.111)"
="No Electricity",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Electricity",="-0.873***",="-0.821***",="-1.180***",="-1.125***",="-0.878***",="-1.075***",="-1.085***",="-1.127***"
="",="(0.0526)",="(0.0659)",="(0.0627)",="(0.0724)",="(0.0974)",="(0.0950)",="(0.0885)",="(0.118)"
="Not own house",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Own house",="-0.393***",="-0.397***",="-0.534***",="-0.541***",="-0.549***",="-0.609***",="-0.241",="-0.728***"
="",="(0.0702)",="(0.0794)",="(0.0773)",="(0.0910)",="(0.0941)",="(0.108)",="(0.125)",="(0.117)"
="Punjab",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="Sindh",="-0.400***",="-0.554***",="0.127",="-0.196**",="-0.240**",="-0.0417",="-0.0403",="0.306**"
="",="(0.0559)",="(0.0694)",="(0.0658)",="(0.0747)",="(0.0854)",="(0.0878)",="(0.0854)",="(0.112)"
="Khyber Pakhtunkhwa",="-0.413***",="-0.371***",="-0.0695",="-0.856***",="-0.505***",="-0.411***",="-1.756***",="-1.292***"
="",="(0.0627)",="(0.0694)",="(0.0748)",="(0.0943)",="(0.0999)",="(0.103)",="(0.169)",="(0.185)"
="Balochistan",="-1.082***",="-1.028***",="0.285***",="0.179*",="-1.035***",="-1.003***",="-0.611***",="0.240"
="",="(0.0758)",="(0.0909)",="(0.0738)",="(0.0784)",="(0.121)",="(0.151)",="(0.128)",="(0.146)"
="Constant",="-1.136***",="-1.403***",="-2.702***",="-1.900***",="-2.101***",="-1.388***",="-2.407***",="-2.939***"
="",="(0.238)",="(0.290)",="(0.297)",="(0.342)",="(0.431)",="(0.399)",="(0.431)",="(0.576)"
="Observations",="14654",="14704",="15452",="15509",="16341",="15806",="17988",="24238"
="Pseudo R-squared",="0.129",="0.119",="0.139",="0.150",="0.109",="0.128",="0.156",="0.160"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
